n,k,p,m,spanner_size,sparsification_ratio,size_bound,time_s,pairs_sampled,pairs_evaluated,disconnected_pairs,max_stretch,avg_stretch,violations,stretch_limit
1000,2,0.031623,15678,15435,0.9845,63245.55,0.0248,400,400,0,1.5,1.0025,0,3
1000,3,0.01,4978,4946,0.9936,30000.0,0.0099,400,400,0,1.3333,1.0008,0,5
1000,4,0.005623,2768,2766,0.9993,22493.65,0.007,400,400,0,1.25,1.0006,0,7
2000,2,0.022361,44905,44297,0.9865,178885.44,0.072,400,400,0,1.5,1.0025,0,3
2000,3,0.0063,12502,12472,0.9976,75595.26,0.0242,400,400,0,1.0,1.0,0,5
2000,4,0.003344,6599,6588,0.9983,53499.22,0.2195,400,400,0,1.0,1.0,0,7
4000,2,0.015811,126378,124597,0.9859,505964.43,0.24,400,400,0,1.5,1.0025,0,3
4000,3,0.003969,31743,31685,0.9982,190488.13,0.087,400,400,0,1.0,1.0,0,5
4000,4,0.001988,15917,15902,0.9991,127243.32,0.0414,400,400,0,1.0,1.0,0,7
7000,2,0.011952,292370,288830,0.9879,1171324.04,0.6066,400,400,0,1.5,1.0013,0,3
7000,3,0.002733,67235,67155,0.9988,401715.55,0.1838,400,400,0,1.0,1.0,0,5
7000,4,0.001307,32225,32202,0.9993,256113.54,0.0756,400,400,0,1.0,1.0,0,7
10000,2,0.01,500361,495179,0.9896,2000000.0,1.1619,400,400,0,1.5,1.005,0,3
10000,3,0.002154,108024,107939,0.9992,646330.41,0.2789,400,400,0,1.0,1.0,0,5
10000,4,0.001,50025,50013,0.9998,400000.0,0.1486,400,400,0,1.0,1.0,0,7
